t,x,y,z,vx,vy,vz,thetas,omegas,CPs,CGs,masavuelo,viento_mags,viento_dirs,viento_vecs,wind_xs,wind_ys,wind_zs,Tmags,Dmags,Nmags,Txs,Tys,Tzs,Dxs,Dys,Dzs,Nxs,Nys,Nzs,accels,palancas,accangs,Gammas,Alphas,torcas,Cds,Machs
21.239460300875805,130.34936195340325,0.0,1325.9481003386911,6.159769167809594,0.0,-15.464397753187804,29.541054518376484,1.7454173639610608,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.53721615169175,1.2248537342850756,9.182612325431224,-26.509051616410805,0.0,-84.47549245958767,-0.4532501582878435,-0.0,1.1379063952734159,8.530776367778756,-0.0,3.3979734669518717,[ -0.68328333   0.         -12.77964047],[-0.03351319  0.         -0.10679533],0.024485134823206377,-1.1917396078989773,30.73279412627546,0.710630280813817,0.452679658914934,0.049664846211354204
21.249460300875807,130.41093975652856,0.0,1325.792876911184,6.155841513385078,0.0,-15.580308838641681,29.55851069507988,1.7458183459856935,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.6112720340447,1.2396676905270412,9.067284038140656,-25.051405023242776,0.0,-84.99638014558573,-0.4555306576005851,-0.0,1.1529387680716727,8.432923894503801,-0.0,3.3318815131734723,[ -0.63295833   0.         -12.80084386],[-0.03164394  0.         -0.10736404],0.024620804072339166,-1.1945177979657402,30.753028493045623,0.7145677995289542,0.452352042825814,0.04998189403953484
21.25946030087581,130.47247978575055,0.0,1325.636493748661,6.1522144789505715,0.0,-15.69634389960257,29.57597089144767,1.7462211728882913,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.68532791639764,1.2546087720706303,8.94391832314441,-23.583301492224216,0.0,-85.49219425401266,-0.4578346775666104,-0.0,1.1680884294324863,8.32712773864301,-0.0,3.2638349522303476,[ -0.58254104   0.         -12.82118585],[-0.02976461  0.         -0.10790016],0.024710928557947865,-1.1972470155448764,30.77321790699255,0.7171834758966257,0.45202334093873286,0.05029999263993594
21.26946030087581,130.533985049829,0.0,1325.4789496371516,6.148888557043296,0.0,-15.812497771087347,29.59343512218249,1.7466250927161875,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.75938379875062,1.269676279523304,8.81241910491687,-22.105168947763858,0.0,-85.96272284033778,-0.4601623693855408,-0.0,1.1833547433401468,8.213288785720994,-0.0,3.1938406038895546,[ -0.53205099   0.         -12.84065836],[-0.02787577  0.         -0.10840349],0.024754507472687332,-1.199927897674303,30.793363019856795,0.7184482635583018,0.4516935808277753,0.050619115327959416
21.27946030087581,130.59545856186534,0.0,1325.320243414574,6.145864123402815,0.0,-15.928765240605399,29.610903394387556,1.747029337721743,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.83343968110356,1.2848694848979918,8.6726936448241,-20.61744026877477,0.0,-86.40776100756094,-0.46251387921939047,-0.0,1.1987370457074653,8.091311436933793,-0.0,3.12190555390722,[ -0.48150779   0.         -12.85925355],[-0.025978    0.         -0.10887387],0.02475060747205481,-1.2025610807103333,30.813464475097888,0.7183350741246036,0.451362790085243,0.050939235401377764
21.289460300875813,130.65690333813316,0.0,1325.1603739712025,6.143141436678484,0.0,-16.04514104967916,29.628375707414296,1.7474331254863846,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.90749556345652,1.3001876317455179,8.524652684127998,-19.120553199094168,0.0,-86.82711104676149,-0.46488934784856983,-0.0,1.2142346445399053,7.961103743035964,-0.0,3.048037168019681,[ -0.43093107   0.         -12.87696385],[-0.02407185  0.         -0.10931112],0.024698365412181466,-1.2051472001008565,30.833522907515153,0.7168188566340264,0.4510309963170626,0.051260326144778094
21.299460300875815,130.7183223969061,0.0,1324.99934025012,6.140720638186975,0.0,-16.161619895392572,29.645852052721448,1.7478356600887377,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,88.98155144580946,1.3156299353002505,8.368210586682194,-17.614950252591527,0.0,-87.22058257832242,-0.46728891032932934,-0.0,1.2298468201127202,7.822577537897055,-0.0,2.9722431069225115,[ -0.38034051   0.         -12.89378193],[-0.02215791  0.         -0.1097151 ],0.024596991011412297,-1.2076868901679867,30.853538942889436,0.7138766747997793,0.45069822713823693,0.05158236083396427
21.309460300875816,130.77971875728343,0.0,1324.8371412476538,6.138601751720967,0.0,-16.2781964319674,29.66333241374605,1.7482361333155498,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.05560732816242,1.3311955826391106,8.203285481127601,-16.101078612792318,0.0,-87.58799269359093,-0.4697126956531433,-0.0,1.2455728251612344,7.675648571546005,-0.0,2.894531342204238,[ -0.32975582   0.         -12.90970076],[-0.02023676  0.         -0.11008564],0.0244457694291508,-1.210180783899888,30.873513197645938,0.7094877818554062,0.4503645101683325,0.05190531274032335
21.319460300875818,130.84109543801415,0.0,1324.6737760137967,6.136784683410093,0.0,-16.394865272367223,29.680816765786755,1.7486337259140061,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.12966321051537,1.3468837328540693,8.029799402390685,-14.579390026859734,0.0,-87.92916609672015,-0.47216082640852197,-0.0,1.2614118850843816,7.5202366425168705,-0.0,2.8149101731992068,[ -0.27919672   0.         -12.92471355],[-0.01830899  0.         -0.11042263],0.024244063755408177,-1.2126295127514854,30.893446278538242,0.7036336928087897,0.45002987302699937,0.05222915513516187
21.32946030087582,130.9024554519583,0.0,1324.5092436247303,6.135267873358891,0.0,-16.511629771136764,29.698305075900024,1.7490276089580008,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.28833591931966,1.3626946456473699,7.847681844902479,-13.062719980475073,0.0,-88.32764164152107,-0.47463349802897187,-0.0,1.2773643723796249,7.356269598965515,-0.0,2.7333876282276037,[ -0.22914173   0.         -12.9419169 ],[-0.01637519  0.         -0.11072592],0.023991331549402542,-1.2150339518400575,30.91333902774008,0.6962986644407098,0.44969431940023485,0.052553884451385605
21.33946030087582,130.96380179118736,0.0,1324.343543081587,6.134049780751818,0.0,-16.628495246967347,29.715797302811463,1.7494169454281023,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.45183591931968,1.3786288630833259,7.656866706668545,-11.536840247469705,0.0,-88.70474771082579,-0.4771309523670995,-0.0,1.2934309399499027,7.183679789880348,-0.0,2.6499721583733358,[ -0.17906589   0.         -12.958394  ],[-0.01443594  0.         -0.1109954 ],0.023687113617671927,-1.2173949960439037,30.933192298855367,0.6874693696128361,0.44935784690287606,0.05287950299721669
21.349460300875823,131.02513744408407,0.0,1324.176673401053,6.133130637500048,0.0,-16.745456342402637,29.73329339684056,1.749800891297876,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.61533591931972,1.3946855630284052,7.457287698273021,-10.001414300443136,0.0,-89.05548912853943,-0.4796533485912907,-0.0,1.3096108142898872,7.002398873136098,-0.0,2.564673436583385,[ -0.12895929   0.         -12.97395934],[-0.01249184  0.         -0.11123097],0.023331016780807064,-1.2197132219087679,30.953006618749328,0.6771343971078715,0.44902048179922593,0.05320598535558779
21.359460300875824,131.08646540086752,0.0,1324.0086336542256,6.132510569427783,0.0,-16.862507590116735,29.750793299836758,1.7501785968239278,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.77883591931975,1.4108638863420846,7.248882893966557,-8.456901230521888,0.0,-89.3796408619174,-0.4822008384749805,-0.0,1.3259031854393881,6.8123629876914595,-0.0,2.477501510468248,[ -0.0788413    0.         -12.98860424],[-0.0105435   0.         -0.11143254],0.02292273441973729,-1.2219892028939086,30.972782502730666,0.6652848479429081,0.44868225056725386,0.05353330590265752
21.369460300875826,131.147788652436,0.0,1323.839422967132,6.132189586487775,0.0,-16.97964347180204,29.768296945129446,1.7505492079770042,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,89.94233591931975,1.4271629442909255,7.031594890868761,-6.903765998621446,0.0,-89.67698593095128,-0.4847735665237851,-0.0,1.3423072147451762,6.613512907503306,-0.0,2.388466816093292,[ -0.02873136   0.         -13.0023203 ],[-0.00859151  0.         -0.11160001],0.02246204852384392,-1.2242235108876982,30.992520456017143,0.6519143948116723,0.44834317973910065,0.053861438962160654
21.379460300875827,131.2091101892068,0.0,1323.6690405212296,6.1321675825181625,0.0,-17.096858419889102,29.785804257492366,1.750911867903933,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,90.10583591931977,1.443581818710019,6.805370943346245,-5.34247930395006,0.0,-89.94731558866135,-0.48737166964291534,-0.0,1.358822035050802,6.4057941674388035,-0.0,2.2975801968480565,[  0.02135105   0.         -13.0150994 ],[-0.00663647  0.         -0.11173331],0.021948831515091628,-1.2264167160754391,31.012220973567803,0.6370193350261567,0.44800329589646276,0.054190358809874745
21.38946030087583,131.27043299995432,0.0,1323.4974855538912,6.132444335056917,0.0,-17.214146819301934,29.803315153122803,1.7512657184182647,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,90.26933591931981,1.4601195621805727,6.570163095385506,-3.7735174452131948,0.0,-90.19042950006211,-0.48999527680836413,-0.0,1.3754467509023685,6.189157187203721,-0.0,2.2048529229973997,[  0.07138643   0.         -13.02693375],[-0.004679    0.         -0.11183239],0.021383047937895406,-1.2285693868121816,31.031884539934985,0.6205986395615055,0.44766262566593734,0.054520039678125125
21.39946030087583,131.33176007064628,0.0,1323.32475735887,6.1330195052150644,0.0,-17.331503009248276,29.820829539635827,1.751609901517367,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,90.43283591931981,1.4767751982237247,6.325928310728258,-2.197362174443142,0.0,-90.4061359194438,-0.4926445087423286,-0.0,1.392180438770331,5.963557393063104,-0.0,2.1102967118667615,[  0.12135526   0.         -13.03781582],[-0.00271971  0.         -0.11189718],0.020764756008535605,-1.230682089500365,31.051511629136193,0.6026539980245743,0.4473211957143245,0.05485045576033116
21.409460300875832,131.39309438327905,0.0,1323.1508552867485,6.1338926376098,0.0,-17.448921285044303,29.838347316073815,1.751943560923632,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,90.59633591931984,1.4935477215107476,6.07262860053513,-0.6145005434017429,0.0,-90.5942518656035,-0.49531947759335726,-0.0,1.4090221472874687,5.728955337128632,-0.0,2.0139237486118025,[  0.17123803   0.         -13.04773843],[-0.0007592   0.         -0.11192765],0.02009410901808101,-1.232755388472109,31.071102704545925,0.5831898593708635,0.4469790327438843,0.05518158121559582
21.419460300875834,131.45443891471263,0.0,1322.9757787453675,6.1350631602316215,0.0,-17.566395888150286,29.85586837293149,1.7522658436473566,2.830679366272703,2.94260959377679,26.9749381,0.0,0.0,[0. 0. 0.],0.0,0.0,0.0,90.75864062625142,1.5104360963876144,5.810231144843835,0.9745624224734544,0.0,-90.75340807049484,-0.4980202863500299,-0.0,1.4259708957950332,5.4853168102935586,-0.0,1.9157467074809744,[  0.22101474   0.         -13.05665037],[ 0.0012019   0.         -0.11192377],0.019371356569690606,-1.2347898456729267,31.090658218604418,0.5622134678146381,0.44663616352208724,0.05551339013991559
