TIME-ASYB,ALTITUD-ASYB,TIME-FTW,ALTITUD-FTW,HORZV,VERTV,HEAD,ax,ay,az,Rango (m)
3708053,6007.48,,,,,,-0.54,-0.17,1.2,
3708353,5986.29,,,,,,-0.53,-0.23,1.11,
3708653,5964.25,,,,,,-0.45,-0.59,1.13,
3708803,5952.36,,,,,,-0.47,-0.21,0.92,
3709103,5928.69,,,,,,-0.46,-0.46,1.08,
3709303,5912.32,,,,,,-0.62,-0.11,1.37,
3709503,5895.6,,,,,,-0.65,-0.35,0.97,
3710103,5839.34,,,,,,-0.73,-0.28,0.95,
3710303,5821.04,,,,,,-1.04,-0.35,0.65,
3710803,5764.44,,,,,,-0.92,0.5,1.04,
3712253,5636.28,,,,,,-0.72,-0.25,0.34,
3712403,5622.47,,,,,,-0.76,-0.16,0.58,
3712753,5582.16,,,,,,-0.94,-0.09,0.99,
3713203,5520.47,,,,,,-0.9,0.11,0.97,
3713353,5508.76,,,,,,-0.92,0.06,0.86,
3713503,5498.63,,,,,,-0.76,-0.07,0.83,
3713703,5481.98,,,,,,-0.85,-0.09,0.53,
3714203,5421.55,,,,,,-0.97,-0.04,0.67,
3714403,5392.99,,,,,,-0.97,-0.29,0.65,
3714603,5367.96,,,,,,-0.95,-0.16,1.11,
3714753,5347.77,,,,,,-0.86,-0.32,0.91,
3714903,5326.22,,,,,,-1.2,-0.03,1.25,
3715203,5282.5,,,,,,-1.12,-0.2,1.24,
3715353,5260.23,,,,,,-1.06,-0.13,0.98,
3715503,5238.05,,,,,,-1.2,0,1.12,
3715953,5180.27,,,,,,-1.08,0.03,0.8,
3716253,5147.63,,,,,,-1.3,0.04,0.5,
3716403,5130.82,,,,,,-1.31,0.02,0.69,
3716603,5102.36,,,,,,-1.22,0.02,1.07,
3717453,4972.88,,,,,,-1.62,-0.32,0.44,
3717653,4941.16,,,,,,-1.58,-0.08,0.7,
3718153,4856.2,,,,,,-1.43,0.14,0.94,
3718303,4832.29,,,,,,-1.68,0,1.15,
3718453,4806.93,,,,,,-1.53,-0.02,1.08,
3719003,4727,,,,,,-1.75,0.16,0.68,
