time,thrust
0.511,4913.0031
0.512,4912.8395
0.513,4912.6759
0.514,4912.5123
0.515,4912.3487
0.516,4912.185
0.517,4912.0214
0.518,4911.8578
0.519,4911.6941
0.52,4911.5304
0.521,4911.3667
0.522,4911.203
0.523,4911.0393
0.524,4910.8756
0.525,4910.7118
0.526,4910.5481
0.527,4910.3843
0.528,4910.2205
0.529,4910.0568
0.53,4909.893
0.531,4909.7292
0.532,4909.5653
0.533,4909.4015
0.534,4909.2377
0.535,4909.0738
0.536,4908.9099
0.537,4908.7461
0.538,4908.5822
0.539,4908.4183
0.54,4908.2543
0.541,4908.0904
0.542,4907.9265
0.543,4907.7625
0.544,4907.5986
0.545,4907.4346
0.546,4907.2706
0.547,4907.1066
0.548,4906.9426
0.549,4906.7786
0.55,4906.6146
0.551,4906.4505
0.552,4906.2865
0.553,4906.1224
0.554,4905.9583
0.555,4905.7942
0.556,4905.6301
0.557,4905.466
0.558,4905.3019
0.559,4905.1378
0.56,4904.9736
0.561,4904.8095
0.562,4904.6453
0.563,4904.4811
0.564,4904.3169
0.565,4904.1527
0.566,4903.9885
0.567,4903.8243
0.568,4903.66
0.569,4903.4958
0.57,4903.3315
0.571,4903.1673
0.572,4903.003
0.573,4902.8387
0.574,4902.6744
0.575,4902.5101
0.576,4902.3457
0.577,4902.1814
0.578,4902.0171
0.579,4901.8527
0.58,4901.6883
0.581,4901.5239
0.582,4901.3595
0.583,4901.1951
0.584,4901.0307
0.585,4900.8663
0.586,4900.7019
0.587,4900.5374
0.588,4900.3729
0.589,4900.2085
0.59,4900.044
0.591,4899.8795
0.592,4899.715
0.593,4899.5505
0.594,4899.3859
0.595,4899.2214
0.596,4899.0568
0.597,4898.8923
0.598,4898.7277
0.599,4898.5631
0.6,4898.3985
0.601,4898.2339
0.602,4898.0693
0.603,4897.9047
0.604,4897.74
0.605,4897.5754
0.606,4897.4107
0.607,4897.246
0.608,4897.0813
0.609,4896.9166
0.61,4896.7519
0.611,4896.5872
0.612,4896.4225
0.613,4896.2577
0.614,4896.093
0.615,4895.9282
0.616,4895.7634
0.617,4895.5986
0.618,4895.4339
0.619,4895.269
0.62,4895.1042
0.621,4894.9394
0.622,4894.7745
0.623,4894.6097
0.624,4894.4448
0.625,4894.28
0.626,4894.1151
0.627,4893.9502
0.628,4893.7853
0.629,4893.6203
0.63,4893.4554
0.631,4893.2905
0.632,4893.1255
