Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
0.368,12.505511,2.3734203
0.369,12.50337,2.3730654
0.37,12.501229,2.3727104
0.371,12.499089,2.3723555
0.372,12.496948,2.3720007
0.373,12.494808,2.3716458
0.374,12.492668,2.371291
0.375,12.490527,2.3709361
0.376,12.488387,2.3705814
0.377,12.486247,2.3702266
0.378,12.484107,2.3698718
0.379,12.481967,2.3695171
0.38,12.479827,2.3691624
0.381,12.477688,2.3688077
0.382,12.475548,2.3684531
0.383,12.473408,2.3680984
0.384,12.471269,2.3677438
0.385,12.469129,2.3673892
0.386,12.46699,2.3670347
0.387,12.46485,2.3666801
0.388,12.462711,2.3663256
0.389,12.460572,2.3659711
0.39,12.458433,2.3656166
0.391,12.456293,2.3652621
0.392,12.454154,2.3649077
0.393,12.452016,2.3645533
0.394,12.449877,2.3641989
0.395,12.447738,2.3638445
0.396,12.445599,2.3634902
0.397,12.44346,2.3631359
0.398,12.441322,2.3627816
0.399,12.439183,2.3624273
0.4,12.437045,2.362073
0.401,12.434907,2.3617188
0.402,12.432768,2.3613646
0.403,12.43063,2.3610104
0.404,12.428492,2.3606562
0.405,12.426354,2.3603021
0.406,12.424216,2.3599479
0.407,12.422078,2.3595938
0.408,12.41994,2.3592398
0.409,12.417802,2.3588857
0.41,12.415665,2.3585317
0.411,12.413527,2.3581776
0.412,12.411389,2.3578237
0.413,12.409252,2.3574697
0.414,12.407114,2.3571157
0.415,12.404977,2.3567618
0.416,12.40284,2.3564079
0.417,12.400703,2.356054
0.418,12.398565,2.3557002
0.419,12.396428,2.3553463
0.42,12.394291,2.3549925
0.421,12.392155,2.3546387
0.422,12.390018,2.3542849
0.423,12.387881,2.3539312
0.424,12.385744,2.3535774
0.425,12.383608,2.3532237
0.426,12.381471,2.35287
0.427,12.379335,2.3525164
0.428,12.377198,2.3521627
0.429,12.375062,2.3518091
0.43,12.372925,2.3514555
0.431,12.370789,2.3511019
0.432,12.368653,2.3507484
0.433,12.366517,2.3503948
0.434,12.364381,2.3500413
0.435,12.362245,2.3496878
0.436,12.360109,2.3493343
0.437,12.357974,2.3489809
0.438,12.355838,2.3486275
0.439,12.353702,2.3482741
0.44,12.351567,2.3479207
0.441,12.349431,2.3475673
0.442,12.347296,2.347214
0.443,12.345161,2.3468607
0.444,12.343025,2.3465074
0.445,12.34089,2.3461541
0.446,12.338755,2.3458008
0.447,12.33662,2.3454476
0.448,12.334485,2.3450944
0.449,12.33235,2.3447412
0.45,12.330215,2.344388
0.451,12.328081,2.3440349
0.452,12.325946,2.3436817
0.453,12.323811,2.3433286
0.454,12.321677,2.3429755
0.455,12.319542,2.3426225
0.456,12.317408,2.3422694
0.457,12.315274,2.3419164
0.458,12.313139,2.3415634
0.459,12.311005,2.3412104
0.46,12.308871,2.3408575
0.461,12.306737,2.3405045
0.462,12.304603,2.3401516
0.463,12.302469,2.3397987
0.464,12.300335,2.3394459
0.465,12.298202,2.339093
0.466,12.296068,2.3387402
0.467,12.293934,2.3383874
0.468,12.291801,2.3380346
0.469,12.289667,2.3376818
0.47,12.287534,2.3373291
0.471,12.285401,2.3369764
0.472,12.283268,2.3366237
0.473,12.281134,2.336271
0.474,12.279001,2.3359183
0.475,12.276868,2.3355657
0.476,12.274735,2.3352131
0.477,12.272602,2.3348605
0.478,12.27047,2.3345079
0.479,12.268337,2.3341553
0.48,12.266204,2.3338028
0.481,12.264072,2.3334503
0.482,12.261939,2.3330978
0.483,12.259807,2.3327453
0.484,12.257674,2.3323929
0.485,12.255542,2.3320405
0.486,12.25341,2.331688
0.487,12.251278,2.3313357
0.488,12.249146,2.3309833
0.489,12.247014,2.330631
0.49,12.244882,2.3302786
0.491,12.24275,2.3299263
0.492,12.240618,2.329574
0.493,12.238486,2.3292218
0.494,12.236355,2.3288695
0.495,12.234223,2.3285173
0.496,12.232092,2.3281651
0.497,12.22996,2.3278129
0.498,12.227829,2.3274608
0.499,12.225698,2.3271087
0.5,12.223566,2.3267565
0.501,12.221435,2.3264044
0.502,12.219304,2.3260524
0.503,12.217173,2.3257003
0.504,12.215042,2.3253483
0.505,12.212911,2.3249963
0.506,12.210781,2.3246443
0.507,12.20865,2.3242923
0.508,12.206519,2.3239404
0.509,12.204389,2.3235884
0.51,12.202258,2.3232365
0.511,12.200128,2.3228846
0.512,12.197998,2.3225328
0.513,12.195867,2.3221809
0.514,12.193737,2.3218291
0.515,12.191607,2.3214773
0.516,12.189477,2.3211255
0.517,12.187347,2.3207738
0.518,12.185217,2.320422
0.519,12.183087,2.3200703
0.52,12.180958,2.3197186
0.521,12.178828,2.3193669
0.522,12.176698,2.3190153
0.523,12.174569,2.3186636
0.524,12.172439,2.318312
0.525,12.17031,2.3179604
0.526,12.168181,2.3176088
0.527,12.166051,2.3172573
0.528,12.163922,2.3169057
0.529,12.161793,2.3165542
0.53,12.159664,2.3162027
0.531,12.157535,2.3158512
0.532,12.155406,2.3154998
0.533,12.153277,2.3151483
0.534,12.151149,2.3147969
0.535,12.14902,2.3144455
0.536,12.146891,2.3140942
0.537,12.144763,2.3137428
0.538,12.142634,2.3133915
0.539,12.140506,2.3130402
0.54,12.138378,2.3126889
0.541,12.13625,2.3123376
0.542,12.134121,2.3119864
0.543,12.131993,2.3116351
0.544,12.129865,2.3112839
0.545,12.127737,2.3109327
0.546,12.125609,2.3105815
0.547,12.123482,2.3102304
0.548,12.121354,2.3098793
0.549,12.119226,2.3095282
0.55,12.117099,2.3091771
0.551,12.114971,2.308826
0.552,12.112844,2.308475
0.553,12.110716,2.3081239
0.554,12.108589,2.3077729
0.555,12.106462,2.3074219
0.556,12.104335,2.307071
0.557,12.102208,2.30672
